reads,avg_candidates,total_clusters,total_buckets,avg_bucket_size,max_bucket_size,worstKmer
5650000,5,3234754,15704930,1.0,1550,1152921504606846975
5660000,6,3239700,15728559,1.0,1555,1152921504606846975
5670000,5,3244613,15752015,1.0,1555,1152921504606846975
5680000,6,3249535,15775535,1.0,1558,1152921504606846975
5690000,6,3254477,15799218,1.0,1564,1152921504606846975
5700000,5,3259441,15822922,1.0,1568,1152921504606846975
5710000,6,3264298,15846168,1.0,1571,1152921504606846975
5720000,5,3269248,15869868,1.0,1572,1152921504606846975
5730000,7,3274219,15893631,1.0,1573,1152921504606846975
5740000,6,3279123,15917049,1.0,1575,1152921504606846975
5750000,6,3284030,15940511,1.0,1578,1152921504606846975
5760000,8,3289088,15964776,1.0,1585,1152921504606846975
5770000,6,3293942,15988022,1.0,1586,1152921504606846975
5780000,4,3298774,16011217,1.0,1587,1152921504606846975
5790000,8,3303705,16034758,1.0,1591,1152921504606846975
5800000,6,3308624,16058248,1.0,1595,1152921504606846975
5810000,5,3313508,16081502,1.0,1599,1152921504606846975
5820000,6,3318322,16104510,1.0,1601,1152921504606846975
5830000,7,3323215,16127888,1.0,1603,1152921504606846975
5840000,6,3328072,16151172,1.0,1604,1152921504606846975
5850000,6,3332923,16174323,1.0,1606,1152921504606846975
5860000,5,3337741,16197341,1.0,1608,1152921504606846975
5870000,6,3342536,16220285,1.0,1615,1152921504606846975
5880000,7,3347291,16242985,1.0,1618,1152921504606846975
5890000,6,3352105,16266021,1.0,1621,1152921504606846975
5900000,7,3356949,16289212,1.0,1624,1152921504606846975
5910000,7,3361734,16312029,1.0,1627,1152921504606846975
5920000,6,3366607,16335260,1.0,1630,1152921504606846975
5930000,5,3371433,16358386,1.0,1630,1152921504606846975
5940000,5,3376215,16381141,1.0,1634,1152921504606846975
5950000,5,3381059,16404309,1.0,1639,1152921504606846975
5960000,6,3385822,16427035,1.0,1644,1152921504606846975
5970000,4,3390577,16449810,1.0,1648,1152921504606846975
5980000,7,3395317,16472383,1.0,1650,1152921504606846975
5990000,6,3400031,16494838,1.0,1652,1152921504606846975
6000000,7,3404742,16517261,1.0,1656,1152921504606846975
6010000,6,3409505,16540026,1.0,1658,1152921504606846975
6020000,3,3414224,16562607,1.0,1658,1152921504606846975
6030000,4,3418931,16585146,1.0,1660,1152921504606846975
6040000,6,3423641,16607732,1.0,1663,1152921504606846975
6050000,7,3428443,16630641,1.0,1665,1152921504606846975
6060000,5,3433144,16652951,1.0,1669,1152921504606846975
6070000,5,3437886,16675530,1.0,1671,1152921504606846975
6080000,5,3442553,16697844,1.0,1674,1152921504606846975
6090000,7,3447189,16719922,1.0,1678,1152921504606846975
6100000,7,3451944,16742607,1.0,1680,1152921504606846975
6110000,5,3456675,16765128,1.0,1685,1152921504606846975
6120000,5,3461368,16787530,1.0,1690,1152921504606846975
6130000,7,3466165,16810335,1.0,1694,1152921504606846975
6140000,6,3470838,16832650,1.0,1697,1152921504606846975
6150000,5,3475444,16854696,1.0,1700,1152921504606846975
6160000,5,3480038,16876606,1.0,1701,1152921504606846975
6170000,5,3484800,16899366,1.0,1703,1152921504606846975
6180000,4,3489449,16921515,1.0,1704,1152921504606846975
6190000,8,3494162,16943993,1.0,1708,1152921504606846975
6200000,4,3498826,16966201,1.0,1711,1152921504606846975
6210000,7,3503482,16988421,1.0,1715,1152921504606846975
6220000,5,3508157,17010728,1.0,1716,1152921504606846975
6230000,5,3512807,17032888,1.0,1719,1152921504606846975
6240000,7,3517465,17055065,1.0,1720,1152921504606846975
6250000,6,3522138,17077288,1.0,1724,1152921504606846975
6260000,8,3526849,17099791,1.0,1726,1152921504606846975
6270000,5,3531490,17121918,1.0,1728,1152921504606846975
6280000,6,3536241,17144598,1.0,1728,1152921504606846975
6290000,6,3540902,17166816,1.0,1731,1152921504606846975
6300000,6,3545479,17188685,1.0,1732,1152921504606846975
6310000,6,3550040,17210527,1.0,1733,1152921504606846975
6320000,5,3554641,17232548,1.0,1736,1152921504606846975
6330000,7,3559228,17254453,1.0,1738,1152921504606846975
6340000,7,3563894,17276722,1.0,1740,1152921504606846975
6350000,6,3568552,17299001,1.0,1741,1152921504606846975
6360000,4,3573080,17320583,1.0,1741,1152921504606846975
6370000,6,3577654,17342428,1.0,1741,1152921504606846975
6380000,5,3582199,17364146,1.0,1747,1152921504606846975
6390000,7,3586746,17385861,1.0,1749,1152921504606846975
6400000,5,3591391,17408050,1.0,1750,1152921504606846975
6410000,6,3596033,17430194,1.0,1753,1152921504606846975
6420000,5,3600736,17452558,1.0,1755,1152921504606846975
6430000,5,3605265,17474208,1.0,1758,1152921504606846975
6440000,6,3609811,17495718,1.0,1761,1152921504606846975
6450000,6,3614373,17517424,1.0,1765,1152921504606846975
6460000,6,3618850,17538703,1.0,1767,1152921504606846975
6470000,6,3623448,17560687,1.0,1768,1152921504606846975
6480000,6,3627968,17582239,1.0,1770,1152921504606846975
6490000,7,3632547,17604147,1.0,1771,1152921504606846975
6500000,5,3637064,17625736,1.0,1773,1152921504606846975
6510000,5,3641570,17647281,1.0,1774,1152921504606846975
6520000,5,3646102,17668871,1.0,1776,1152921504606846975
6530000,6,3650648,17690526,1.0,1778,1152921504606846975
6540000,8,3655185,17712076,1.0,1782,1152921504606846975
6550000,6,3659741,17733821,1.0,1783,1152921504606846975
6560000,5,3664307,17755595,1.0,1784,1152921504606846975
6570000,5,3668973,17777812,1.0,1786,1152921504606846975
6580000,6,3673639,17800018,1.0,1786,1152921504606846975
6590000,7,3678259,17821959,1.0,1789,1152921504606846975
6600000,5,3682837,17843682,1.0,1791,1152921504606846975
6610000,7,3687396,17865417,1.0,1797,1152921504606846975
6620000,6,3692007,17887408,1.0,1797,1152921504606846975
6630000,6,3696547,17908954,1.0,1797,1152921504606846975
6640000,4,3701023,17930239,1.0,1799,1152921504606846975
6650000,6,3705543,17951740,1.0,1804,1152921504606846975
6660000,5,3710191,17973841,1.0,1805,1152921504606846975
6670000,5,3714793,17995773,1.0,1806,1152921504606846975
6680000,5,3719518,18018312,1.0,1808,1152921504606846975
6690000,7,3724129,18040256,1.0,1810,1152921504606846975
6700000,7,3728733,18062173,1.0,1812,1152921504606846975
6710000,7,3733311,18084005,1.0,1815,1152921504606846975
6720000,7,3738001,18106457,1.0,1817,1152921504606846975
6730000,5,3742723,18128960,1.0,1821,1152921504606846975
6740000,5,3747325,18150952,1.0,1821,1152921504606846975
6750000,5,3751936,18172929,1.0,1824,1152921504606846975
6760000,7,3756602,18195157,1.0,1828,1152921504606846975
6770000,6,3761265,18217468,1.0,1830,1152921504606846975
6780000,7,3765924,18239602,1.0,1831,1152921504606846975
6790000,6,3770589,18261780,1.0,1832,1152921504606846975
6800000,7,3775270,18284001,1.0,1833,1152921504606846975
6810000,8,3779904,18306068,1.0,1838,1152921504606846975
6820000,7,3784580,18328379,1.0,1839,1152921504606846975
6830000,7,3789191,18350346,1.0,1840,1152921504606846975
6840000,7,3793739,18371958,1.0,1842,1152921504606846975
6850000,5,3798374,18394026,1.0,1843,1152921504606846975
6860000,5,3803111,18416537,1.0,1843,1152921504606846975
6870000,7,3807725,18438531,1.0,1845,1152921504606846975
6880000,5,3812422,18460926,1.0,1847,1152921504606846975
6890000,6,3817045,18482958,1.0,1849,1152921504606846975
6900000,7,3821774,18505473,1.0,1851,1152921504606846975
6910000,6,3826420,18527594,1.0,1851,1152921504606846975
6920000,5,3831113,18549936,1.0,1853,1152921504606846975
6930000,6,3835730,18571892,1.0,1854,1152921504606846975
6940000,7,3840363,18594054,1.0,1856,1152921504606846975
6950000,6,3845004,18616166,1.0,1859,1152921504606846975
6960000,6,3849659,18638293,1.0,1863,1152921504606846975
6970000,7,3854233,18660054,1.0,1865,1152921504606846975
6980000,6,3858883,18682193,1.0,1870,1152921504606846975
6990000,5,3863533,18704423,1.0,1872,1152921504606846975
7000000,7,3868178,18726444,1.0,1876,1152921504606846975
7010000,7,3872687,18747997,1.0,1880,1152921504606846975
7020000,8,3877249,18769774,1.0,1883,1152921504606846975
7030000,6,3881861,18791852,1.0,1887,1152921504606846975
7040000,5,3886488,18813954,1.0,1889,1152921504606846975
7050000,7,3891142,18836105,1.0,1892,1152921504606846975
7060000,6,3895835,18858407,1.0,1897,1152921504606846975
7070000,7,3900508,18880699,1.0,1899,1152921504606846975
7080000,6,3905203,18903098,1.0,1906,1152921504606846975
7090000,6,3909930,18925617,1.0,1910,1152921504606846975
7100000,6,3914626,18948001,1.0,1910,1152921504606846975
7110000,6,3919308,18970358,1.0,1912,1152921504606846975
7120000,8,3923986,18992606,1.0,1914,1152921504606846975
7130000,6,3928614,19014626,1.0,1917,1152921504606846975
7140000,5,3933270,19036870,1.0,1919,1152921504606846975
7150000,9,3937964,19059241,1.0,1923,1152921504606846975
7160000,8,3942637,19081559,1.0,1924,1152921504606846975
7170000,7,3947298,19103754,1.0,1927,1152921504606846975
7180000,5,3951955,19125955,1.0,1931,1152921504606846975
7190000,8,3956571,19147927,1.0,1934,1152921504606846975
7200000,7,3961269,19170338,1.0,1935,1152921504606846975
7210000,8,3965905,19192434,1.0,1936,1152921504606846975
7220000,5,3970538,19214515,1.0,1937,1152921504606846975
7230000,6,3975305,19237187,1.0,1939,1152921504606846975
7240000,6,3979962,19259364,1.0,1942,1152921504606846975
7250000,5,3984604,19281481,1.0,1943,1152921504606846975
7260000,7,3989245,19303417,1.0,1945,1152921504606846975
7270000,7,3993753,19324899,1.0,1945,1152921504606846975
7280000,7,3998341,19346805,1.0,1946,1152921504606846975
7290000,7,4002990,19368879,1.0,1948,1152921504606846975
7300000,6,4007674,19391188,1.0,1948,1152921504606846975
7310000,5,4012222,19412804,1.0,1949,1152921504606846975
7320000,4,4016835,19434724,1.0,1950,1152921504606846975
7330000,7,4021377,19456301,1.0,1952,1152921504606846975
7340000,6,4025861,19477620,1.0,1954,1152921504606846975
7350000,7,4030332,19498952,1.0,1956,1152921504606846975
7360000,5,4034864,19520513,1.0,1958,1152921504606846975
7370000,6,4039363,19541877,1.0,1960,1152921504606846975
7380000,6,4043849,19563126,1.0,1961,1152921504606846975
7390000,7,4048330,19584522,1.0,1962,1152921504606846975
7400000,6,4052875,19606153,1.0,1964,1152921504606846975
7410000,6,4057450,19627812,1.0,1966,1152921504606846975
7420000,9,4061976,19649334,1.0,1968,1152921504606846975
7430000,8,4066466,19670705,1.0,1969,1152921504606846975
7440000,7,4071092,19692688,1.0,1971,1152921504606846975
7450000,6,4075581,19714040,1.0,1973,1152921504606846975
7460000,5,4080110,19735446,1.0,1976,1152921504606846975
7470000,6,4084574,19756654,1.0,1979,1152921504606846975
7480000,9,4089173,19778477,1.0,1980,1152921504606846975
7490000,7,4093686,19799974,1.0,1984,1152921504606846975
7500000,9,4098200,19821434,1.0,1987,1152921504606846975
7510000,7,4102714,19842842,1.0,1989,1152921504606846975
7520000,7,4107288,19864678,1.0,1990,1152921504606846975
7530000,7,4111793,19886067,1.0,1993,1152921504606846975
7540000,6,4116351,19907726,1.0,1998,1152921504606846975
7550000,9,4120830,19929002,1.0,2002,1152921504606846975
7560000,6,4125309,19950366,1.0,2003,1152921504606846975
7570000,5,4129870,19972038,1.0,2004,1152921504606846975
7580000,7,4134356,19993432,1.0,2006,1152921504606846975
7590000,9,4138873,20014968,1.0,2010,1152921504606846975
7600000,6,4143387,20036497,1.0,2011,1152921504606846975
7610000,7,4147882,20057940,1.0,2014,1152921504606846975
7620000,7,4152408,20079418,1.0,2017,1152921504606846975
7630000,5,4156955,20101126,1.0,2019,1152921504606846975
7640000,6,4161513,20122856,1.0,2020,1152921504606846975
7650000,8,4166035,20144281,1.0,2025,1152921504606846975
7660000,6,4170494,20165510,1.0,2026,1152921504606846975
7670000,7,4175022,20187044,1.0,2030,1152921504606846975
7680000,6,4179527,20208416,1.0,2031,1152921504606846975
7690000,8,4183991,20229649,1.0,2038,1152921504606846975
7700000,8,4188484,20250937,1.0,2041,1152921504606846975
7710000,7,4192999,20272312,1.0,2042,1152921504606846975
7720000,8,4197511,20293593,1.0,2044,1152921504606846975
7730000,6,4202008,20314846,1.0,2044,1152921504606846975
7740000,7,4206540,20336295,1.0,2044,1152921504606846975
7750000,5,4211116,20358118,1.0,2044,1152921504606846975
7760000,7,4215678,20379761,1.0,2047,1152921504606846975
7770000,7,4220072,20400674,1.0,2050,1152921504606846975
7780000,7,4224574,20422068,1.0,2052,1152921504606846975
7790000,8,4229059,20443319,1.0,2057,1152921504606846975
7800000,7,4233632,20465011,1.0,2060,1152921504606846975
7810000,4,4238152,20486472,1.0,2061,1152921504606846975
7820000,8,4242612,20507705,1.0,2065,1152921504606846975
7830000,6,4247053,20528764,1.0,2068,1152921504606846975
7840000,6,4251496,20549799,1.0,2069,1152921504606846975
7850000,7,4255990,20571137,1.0,2071,1152921504606846975
7860000,7,4260525,20592691,1.0,2076,1152921504606846975
7870000,6,4264985,20613784,1.0,2078,1152921504606846975
7880000,5,4269455,20635051,1.0,2080,1152921504606846975
7890000,5,4274039,20656745,1.0,2083,1152921504606846975
7900000,6,4278614,20678464,1.0,2086,1152921504606846975
7910000,7,4283096,20699725,1.0,2090,1152921504606846975
7920000,5,4287682,20721575,1.0,2091,1152921504606846975
7930000,7,4292154,20742881,1.0,2091,1152921504606846975
7940000,8,4296634,20764207,1.0,2093,1152921504606846975
7950000,5,4301262,20786222,1.0,2093,1152921504606846975
7960000,8,4305741,20807489,1.0,2094,1152921504606846975
7970000,6,4310246,20828893,1.0,2096,1152921504606846975
7980000,9,4314748,20850256,1.0,2098,1152921504606846975
7990000,8,4319153,20871153,1.0,2100,1152921504606846975
8000000,7,4323654,20892528,1.0,2104,1152921504606846975
8010000,8,4328221,20914214,1.0,2104,1152921504606846975
8020000,5,4332699,20935468,1.0,2105,1152921504606846975
8030000,8,4337211,20956953,1.0,2111,1152921504606846975
8040000,9,4341788,20978737,1.0,2113,1152921504606846975
8050000,7,4346306,21000118,1.0,2115,1152921504606846975
8060000,8,4350841,21021607,1.0,2123,1152921504606846975
8070000,6,4355344,21042984,1.0,2126,1152921504606846975
8080000,8,4359824,21064231,1.0,2130,1152921504606846975
8090000,6,4364289,21085485,1.0,2134,1152921504606846975
8100000,7,4368756,21106693,1.0,2134,1152921504606846975
8110000,7,4373219,21127836,1.0,2134,1152921504606846975
8120000,8,4377733,21149269,1.0,2137,1152921504606846975
8130000,8,4382214,21170469,1.0,2138,1152921504606846975
8140000,5,4386643,21191485,1.0,2138,1152921504606846975
8150000,5,4391139,21212843,1.0,2140,1152921504606846975
8160000,7,4395621,21234187,1.0,2141,1152921504606846975
8170000,7,4400146,21255710,1.0,2144,1152921504606846975
8180000,5,4404660,21277167,1.0,2146,1152921504606846975
8190000,7,4409169,21298616,1.0,2148,1152921504606846975
8200000,8,4413582,21319588,1.0,2150,1152921504606846975
8210000,6,4418030,21340793,1.0,2151,1152921504606846975
8220000,9,4422509,21361979,1.0,2154,1152921504606846975
8230000,7,4426977,21383236,1.0,2155,1152921504606846975
8240000,7,4431492,21404678,1.0,2158,1152921504606846975
8250000,8,4436039,21426325,1.0,2162,1152921504606846975
8260000,8,4440583,21447848,1.0,2165,1152921504606846975
8270000,8,4445085,21469292,1.0,2168,1152921504606846975
8280000,6,4449565,21490538,1.0,2171,1152921504606846975
8290000,8,4454021,21511808,1.0,2172,1152921504606846975
8300000,9,4458465,21532801,1.0,2173,1152921504606846975
8310000,8,4463002,21554391,1.0,2174,1152921504606846975
8320000,8,4467487,21575751,1.0,2180,1152921504606846975
8330000,8,4471989,21597176,1.0,2181,1152921504606846975
8340000,7,4476438,21618358,1.0,2182,1152921504606846975
8350000,7,4480948,21639753,1.0,2184,1152921504606846975
8360000,5,4485418,21660912,1.0,2185,1152921504606846975
8370000,8,4489849,21681824,1.0,2188,1152921504606846975
8380000,8,4494303,21702984,1.0,2189,1152921504606846975
8390000,8,4498785,21724269,1.0,2194,1152921504606846975
8400000,8,4503254,21745585,1.0,2196,1152921504606846975
8410000,7,4507644,21766399,1.0,2197,1152921504606846975
8420000,5,4512187,21787973,1.0,2197,1152921504606846975
8430000,9,4516724,21809481,1.0,2201,1152921504606846975
8440000,7,4521167,21830581,1.0,2203,1152921504606846975
8450000,7,4525641,21851830,1.0,2206,1152921504606846975
8460000,10,4530144,21873229,1.0,2212,1152921504606846975
